    0.0000000000 -100.0000000000  -20.0000000000
  -10.0000000000  -88.0000000000  -20.0000000000
  -10.0000000000  -88.0000000000  -30.0000000000
    0.0000000000 -100.0000000000  -30.0000000000

    0.0000000000 -100.0000000000  -20.0000000000
   10.0000000000  -88.0000000000  -20.0000000000
   10.0000000000  -88.0000000000  -30.0000000000
    0.0000000000 -100.0000000000  -30.0000000000

    0.0000000000 -100.0000000000  -20.0000000000
   10.0000000000 -112.0000000000  -20.0000000000
   10.0000000000 -112.0000000000  -30.0000000000
    0.0000000000 -100.0000000000  -30.0000000000

    0.0000000000 -100.0000000000  -20.0000000000
  -10.0000000000 -112.0000000000  -20.0000000000
  -10.0000000000 -112.0000000000  -30.0000000000
    0.0000000000 -100.0000000000  -30.0000000000

    0.0000000000 -100.0000000000  -20.0000000000
  -10.0000000000  -88.0000000000  -20.0000000000
  -10.0000000000  -88.0000000000  -30.0000000000
    0.0000000000 -100.0000000000  -30.0000000000

