  -40.0000000000 -112.0000000000  -15.0000000000
  -50.0000000000 -112.0000000000  -15.0000000000
  -50.0000000000 -112.0000000000  -20.0000000000
  -40.0000000000 -112.0000000000  -20.0000000000

  -40.0000000000 -112.0000000000  -15.0000000000
  -45.0000000000 -103.3397459622  -15.0000000000
  -45.0000000000 -103.3397459622  -20.0000000000
  -40.0000000000 -112.0000000000  -20.0000000000

  -40.0000000000 -112.0000000000  -15.0000000000
  -35.0000000000 -103.3397459622  -15.0000000000
  -35.0000000000 -103.3397459622  -20.0000000000
  -40.0000000000 -112.0000000000  -20.0000000000

  -40.0000000000 -112.0000000000  -15.0000000000
  -30.0000000000 -112.0000000000  -15.0000000000
  -30.0000000000 -112.0000000000  -20.0000000000
  -40.0000000000 -112.0000000000  -20.0000000000

  -40.0000000000 -112.0000000000  -15.0000000000
  -35.0000000000 -120.6602540378  -15.0000000000
  -35.0000000000 -120.6602540378  -20.0000000000
  -40.0000000000 -112.0000000000  -20.0000000000

  -40.0000000000 -112.0000000000  -15.0000000000
  -45.0000000000 -120.6602540378  -15.0000000000
  -45.0000000000 -120.6602540378  -20.0000000000
  -40.0000000000 -112.0000000000  -20.0000000000

  -40.0000000000 -112.0000000000  -15.0000000000
  -50.0000000000 -112.0000000000  -15.0000000000
  -50.0000000000 -112.0000000000  -20.0000000000
  -40.0000000000 -112.0000000000  -20.0000000000

