  -60.0000000000 -112.0000000000  -15.0000000000
  -70.0000000000 -112.0000000000  -15.0000000000
  -70.0000000000 -112.0000000000  -20.0000000000
  -60.0000000000 -112.0000000000  -20.0000000000

  -60.0000000000 -112.0000000000  -15.0000000000
  -65.0000000000 -103.3397459622  -15.0000000000
  -65.0000000000 -103.3397459622  -20.0000000000
  -60.0000000000 -112.0000000000  -20.0000000000

  -60.0000000000 -112.0000000000  -15.0000000000
  -55.0000000000 -103.3397459622  -15.0000000000
  -55.0000000000 -103.3397459622  -20.0000000000
  -60.0000000000 -112.0000000000  -20.0000000000

  -60.0000000000 -112.0000000000  -15.0000000000
  -50.0000000000 -112.0000000000  -15.0000000000
  -50.0000000000 -112.0000000000  -20.0000000000
  -60.0000000000 -112.0000000000  -20.0000000000

  -60.0000000000 -112.0000000000  -15.0000000000
  -55.0000000000 -120.6602540378  -15.0000000000
  -55.0000000000 -120.6602540378  -20.0000000000
  -60.0000000000 -112.0000000000  -20.0000000000

  -60.0000000000 -112.0000000000  -15.0000000000
  -65.0000000000 -120.6602540378  -15.0000000000
  -65.0000000000 -120.6602540378  -20.0000000000
  -60.0000000000 -112.0000000000  -20.0000000000

  -60.0000000000 -112.0000000000  -15.0000000000
  -70.0000000000 -112.0000000000  -15.0000000000
  -70.0000000000 -112.0000000000  -20.0000000000
  -60.0000000000 -112.0000000000  -20.0000000000

